Вартість (грн),Обрамлення,Потужність (л/г),Охоронний статус,Ступінь небезпеки,Матеріал,Лояльність клієнта,Статус проєкта
824.41,Коштовне,38.88,Не охороняється,Висока,Поліпропілен,0.87,Узгоджено
1037.51,Просте,55.91,Вищий статус охорони,Висока,Залізо,2.86,Заблоковано
509.66,Просте,81.55,Вищий статус охорони,Висока,Залізо,3.97,Узгоджено
749.35,Коштовне,57.35,Невелике занепокоєння,Помірна,Поліпропілен,0.39,Узгоджено
911.38,Коштовне,58.99,Вищий статус охорони,Безпечний,Скло,5.51,Узгоджено
944.11,Стандартне,48.9,Не охороняється,Помірна,Залізо,3.17,Заблоковано
838.12,Коштовне,41.5,Невелике занепокоєння,Безпечний,Льон,3.92,Узгоджено
890.17,Стандартне,30.36,Не охороняється,Безпечний,Поліпропілен,2.23,Заблоковано
1010.28,Коштовне,43.54,Невелике занепокоєння,Висока,Поліпропілен,4.07,Заблоковано
1361.37,Коштовне,66.08,Вищий статус охорони,Помірна,Поліпропілен,3.09,Заблоковано
997.56,Стандартне,66.1,Вищий статус охорони,Помірна,Скло,2.09,Заблоковано
814.87,Стандартне,59.4,Не охороняється,Помірна,Поліпропілен,7.08,Узгоджено
954.3,Коштовне,52.77,Не охороняється,Безпечний,Скло,0.0,Заблоковано
831.58,Коштовне,50.42,Не охороняється,Висока,Залізо,3.1,Узгоджено
1132.26,Коштовне,59.96,Вищий статус охорони,Помірна,Скло,2.59,Заблоковано
636.92,Просте,31.3,Вищий статус охорони,Безпечний,Скло,2.14,Узгоджено
674.96,Коштовне,39.02,Не охороняється,Безпечний,Скло,4.1,Узгоджено
934.66,Коштовне,42.91,Вищий статус охорони,Висока,Залізо,1.55,Заблоковано
1034.79,Просте,23.25,Не охороняється,Безпечний,Поліпропілен,2.38,Заблоковано
821.18,Просте,58.69,Не охороняється,Безпечний,Залізо,0.94,Узгоджено
575.37,Коштовне,71.93,Вищий статус охорони,Висока,Поліпропілен,2.17,Узгоджено
434.69,Стандартне,44.34,Невелике занепокоєння,Висока,Поліпропілен,5.7,Узгоджено
1158.66,Коштовне,34.98,Невелике занепокоєння,Висока,Скло,0.0,Заблоковано
1025.8,Стандартне,42.2,Невелике занепокоєння,Висока,Льон,1.8,Заблоковано
1340.21,Коштовне,63.25,Невелике занепокоєння,Висока,Льон,0.15,Заблоковано
779.76,Коштовне,54.82,Невелике занепокоєння,Висока,Поліпропілен,7.39,Узгоджено
919.17,Стандартне,37.54,Не охороняється,Висока,Льон,1.08,Заблоковано
1469.11,Коштовне,26.73,Не охороняється,Помірна,Залізо,4.38,Заблоковано
617.4,Стандартне,44.29,Невелике занепокоєння,Помірна,Скло,2.3,Узгоджено
912.31,Стандартне,49.46,Вищий статус охорони,Безпечний,Скло,5.54,Узгоджено
875.84,Стандартне,70.81,Не охороняється,Висока,Поліпропілен,2.29,Узгоджено
897.78,Просте,24.66,Вищий статус охорони,Помірна,Залізо,5.27,Заблоковано
889.23,Просте,52.19,Вищий статус охорони,Помірна,Скло,0.0,Узгоджено
803.75,Просте,24.98,Не охороняється,Безпечний,Льон,0.0,Узгоджено
1040.91,Коштовне,51.32,Невелике занепокоєння,Безпечний,Поліпропілен,0.0,Заблоковано
1009.62,Просте,36.99,Невелике занепокоєння,Висока,Скло,2.88,Заблоковано
636.78,Стандартне,61.99,Вищий статус охорони,Безпечний,Льон,2.31,Узгоджено
937.31,Просте,70.72,Вищий статус охорони,Безпечний,Залізо,4.04,Узгоджено
872.13,Коштовне,37.22,Вищий статус охорони,Висока,Залізо,2.18,Узгоджено
970.61,Просте,48.0,Не охороняється,Помірна,Скло,2.42,Заблоковано
794.1,Стандартне,63.07,Невелике занепокоєння,Висока,Залізо,2.35,Узгоджено
865.71,Коштовне,38.83,Не охороняється,Помірна,Льон,1.28,Узгоджено
755.93,Коштовне,61.61,Вищий статус охорони,Помірна,Скло,2.01,Узгоджено
976.96,Коштовне,37.17,Невелике занепокоєння,Висока,Залізо,1.52,Заблоковано
938.35,Стандартне,39.1,Не охороняється,Висока,Скло,0.12,Заблоковано
1028.43,Просте,47.73,Вищий статус охорони,Висока,Скло,3.03,Заблоковано
1345.39,Просте,20.74,Вищий статус охорони,Помірна,Льон,2.67,Заблоковано
1285.04,Просте,45.47,Не охороняється,Безпечний,Поліпропілен,4.91,Заблоковано
1125.21,Стандартне,53.34,Вищий статус охорони,Безпечний,Скло,0.41,Заблоковано
1231.87,Коштовне,62.86,Вищий статус охорони,Висока,Льон,0.13,Заблоковано
893.85,Просте,33.7,Вищий статус охорони,Помірна,Скло,3.03,Заблоковано
964.21,Стандартне,60.75,Невелике занепокоєння,Безпечний,Залізо,3.69,Заблоковано
638.23,Просте,56.19,Не охороняється,Помірна,Поліпропілен,1.38,Узгоджено
1063.46,Просте,30.5,Вищий статус охорони,Висока,Залізо,5.14,Заблоковано
764.52,Коштовне,68.73,Не охороняється,Помірна,Льон,5.52,Узгоджено
628.42,Просте,49.53,Не охороняється,Помірна,Поліпропілен,4.22,Узгоджено
975.62,Стандартне,22.74,Невелике занепокоєння,Висока,Залізо,1.77,Заблоковано
769.5,Просте,76.35,Невелике занепокоєння,Висока,Льон,6.61,Узгоджено
719.61,Коштовне,33.91,Вищий статус охорони,Помірна,Льон,0.0,Узгоджено
868.82,Стандартне,66.3,Вищий статус охорони,Висока,Льон,1.4,Узгоджено
860.55,Коштовне,44.59,Не охороняється,Висока,Льон,2.14,Узгоджено
1119.28,Стандартне,56.8,Не охороняється,Висока,Скло,0.68,Заблоковано
885.09,Коштовне,53.52,Не охороняється,Безпечний,Залізо,3.27,Узгоджено
805.85,Стандартне,54.66,Не охороняється,Безпечний,Залізо,3.2,Узгоджено
614.59,Стандартне,57.73,Невелике занепокоєння,Безпечний,Залізо,4.31,Узгоджено
834.39,Коштовне,40.68,Вищий статус охорони,Висока,Скло,0.91,Узгоджено
1114.53,Просте,35.13,Не охороняється,Безпечний,Льон,0.4,Заблоковано
768.72,Коштовне,33.87,Вищий статус охорони,Безпечний,Поліпропілен,1.19,Узгоджено
1006.55,Стандартне,47.09,Вищий статус охорони,Безпечний,Поліпропілен,0.57,Заблоковано
881.83,Просте,19.95,Не охороняється,Висока,Залізо,4.2,Заблоковано
1010.06,Просте,43.17,Не охороняється,Висока,Льон,3.99,Заблоковано
723.36,Стандартне,36.34,Невелике занепокоєння,Висока,Скло,4.32,Узгоджено
750.81,Стандартне,76.68,Не охороняється,Висока,Поліпропілен,1.54,Узгоджено
1056.47,Стандартне,51.11,Невелике занепокоєння,Безпечний,Льон,0.0,Заблоковано
932.36,Просте,68.48,Невелике занепокоєння,Висока,Поліпропілен,2.4,Узгоджено
887.42,Стандартне,38.93,Не охороняється,Безпечний,Льон,0.5,Заблоковано
932.36,Коштовне,41.47,Невелике занепокоєння,Висока,Поліпропілен,3.16,Заблоковано
946.17,Коштовне,26.68,Невелике занепокоєння,Помірна,Поліпропілен,2.2,Заблоковано
1136.12,Просте,30.05,Не охороняється,Висока,Залізо,3.16,Заблоковано
787.22,Стандартне,70.3,Не охороняється,Висока,Льон,0.09,Узгоджено
1066.32,Просте,55.33,Невелике занепокоєння,Помірна,Поліпропілен,6.66,Заблоковано
706.17,Стандартне,70.66,Не охороняється,Безпечний,Залізо,0.41,Узгоджено
845.66,Просте,49.13,Вищий статус охорони,Безпечний,Залізо,2.36,Узгоджено
944.09,Коштовне,40.54,Вищий статус охорони,Безпечний,Льон,3.44,Заблоковано
700.51,Стандартне,17.64,Вищий статус охорони,Безпечний,Льон,5.36,Узгоджено
630.4,Коштовне,25.67,Не охороняється,Безпечний,Поліпропілен,2.49,Узгоджено
979.69,Коштовне,38.66,Вищий статус охорони,Висока,Залізо,1.52,Заблоковано
1048.05,Стандартне,21.77,Вищий статус охорони,Висока,Поліпропілен,1.71,Заблоковано
1193.89,Стандартне,56.98,Невелике занепокоєння,Безпечний,Залізо,4.83,Заблоковано
714.14,Просте,35.23,Не охороняється,Помірна,Залізо,5.71,Узгоджено
723.43,Коштовне,39.8,Вищий статус охорони,Висока,Льон,2.34,Узгоджено
1351.97,Просте,36.72,Не охороняється,Безпечний,Скло,4.48,Заблоковано
1080.91,Коштовне,44.41,Не охороняється,Безпечний,Льон,4.22,Заблоковано
918.58,Просте,61.39,Невелике занепокоєння,Помірна,Залізо,3.39,Узгоджено
920.21,Стандартне,32.59,Невелике занепокоєння,Помірна,Льон,0.0,Заблоковано
867.73,Просте,20.48,Не охороняється,Висока,Залізо,5.33,Заблоковано
776.87,Коштовне,32.45,Не охороняється,Висока,Льон,0.8,Узгоджено
666.4,Просте,61.95,Невелике занепокоєння,Помірна,Скло,2.37,Узгоджено
827.81,Стандартне,35.02,Вищий статус охорони,Висока,Залізо,2.16,Узгоджено
857.28,Коштовне,38.29,Невелике занепокоєння,Висока,Льон,1.05,Узгоджено
1007.26,Коштовне,-1.7,Невелике занепокоєння,Помірна,Льон,1.6,Заблоковано
987.8,Коштовне,46.35,Не охороняється,Безпечний,Скло,1.91,Заблоковано
947.57,Просте,77.27,Невелике занепокоєння,Безпечний,Поліпропілен,1.36,Узгоджено
959.56,Стандартне,54.35,Не охороняється,Помірна,Скло,3.52,Заблоковано
811.35,Коштовне,24.38,Вищий статус охорони,Безпечний,Залізо,1.89,Узгоджено
1132.26,Коштовне,41.97,Невелике занепокоєння,Висока,Льон,4.41,Заблоковано
815.68,Просте,48.47,Не охороняється,Помірна,Залізо,3.1,Узгоджено
586.82,Просте,18.69,Не охороняється,Помірна,Льон,0.0,Узгоджено
713.26,Стандартне,56.05,Вищий статус охорони,Помірна,Льон,5.46,Узгоджено
950.08,Коштовне,17.77,Не охороняється,Безпечний,Льон,0.19,Заблоковано
1063.11,Просте,32.35,Вищий статус охорони,Помірна,Льон,2.69,Заблоковано
878.36,Стандартне,31.76,Невелике занепокоєння,Висока,Залізо,0.4,Заблоковано
984.96,Стандартне,51.96,Вищий статус охорони,Висока,Скло,4.14,Заблоковано
1028.43,Просте,52.11,Невелике занепокоєння,Висока,Скло,0.28,Заблоковано
778.01,Коштовне,62.41,Вищий статус охорони,Висока,Льон,5.24,Узгоджено
827.77,Стандартне,41.94,Не охороняється,Висока,Поліпропілен,1.01,Узгоджено
778.75,Стандартне,69.5,Вищий статус охорони,Висока,Льон,5.66,Узгоджено
598.29,Коштовне,57.5,Невелике занепокоєння,Безпечний,Поліпропілен,4.61,Узгоджено
840.89,Стандартне,27.82,Не охороняється,Помірна,Залізо,5.42,Узгоджено
638.79,Просте,85.46,Не охороняється,Помірна,Залізо,0.78,Узгоджено
557.12,Просте,51.55,Невелике занепокоєння,Помірна,Льон,2.04,Узгоджено
542.78,Стандартне,47.18,Не охороняється,Безпечний,Залізо,0.17,Узгоджено
770.84,Коштовне,62.19,Невелике занепокоєння,Висока,Поліпропілен,1.06,Узгоджено
607.91,Стандартне,43.54,Невелике занепокоєння,Висока,Скло,3.02,Узгоджено
586.82,Коштовне,30.75,Не охороняється,Висока,Льон,3.8,Узгоджено
708.59,Коштовне,44.21,Не охороняється,Висока,Льон,6.95,Узгоджено
673.81,Стандартне,54.75,Невелике занепокоєння,Безпечний,Льон,3.91,Узгоджено
889.3,Коштовне,8.8,Невелике занепокоєння,Висока,Поліпропілен,4.47,Заблоковано
990.69,Стандартне,51.92,Невелике занепокоєння,Висока,Поліпропілен,6.17,Заблоковано
826.1,Коштовне,32.68,Не охороняється,Висока,Поліпропілен,0.2,Узгоджено
743.9,Просте,41.53,Не охороняється,Висока,Скло,1.33,Узгоджено
843.61,Стандартне,37.89,Не охороняється,Безпечний,Скло,5.76,Узгоджено
583.2,Просте,49.51,Вищий статус охорони,Безпечний,Скло,0.07,Узгоджено
990.31,Просте,48.63,Невелике занепокоєння,Висока,Залізо,4.17,Заблоковано
706.17,Просте,59.63,Вищий статус охорони,Висока,Скло,4.88,Узгоджено
522.87,Просте,59.26,Не охороняється,Висока,Поліпропілен,1.45,Узгоджено
1033.1,Стандартне,24.93,Невелике занепокоєння,Безпечний,Скло,1.72,Заблоковано
851.22,Просте,61.54,Невелике занепокоєння,Безпечний,Скло,3.21,Узгоджено
999.0,Просте,48.68,Невелике занепокоєння,Висока,Льон,2.8,Заблоковано
673.41,Коштовне,45.45,Невелике занепокоєння,Безпечний,Поліпропілен,0.8,Узгоджено
882.19,Стандартне,52.57,Невелике занепокоєння,Помірна,Льон,1.54,Узгоджено
848.09,Стандартне,-3.78,Не охороняється,Помірна,Льон,2.76,Заблоковано
980.91,Стандартне,77.12,Не охороняється,Висока,Поліпропілен,4.63,Узгоджено
918.96,Коштовне,44.62,Вищий статус охорони,Помірна,Залізо,6.58,Заблоковано
722.68,Просте,32.86,Вищий статус охорони,Висока,Скло,6.26,Узгоджено
625.54,Стандартне,33.03,Невелике занепокоєння,Безпечний,Поліпропілен,2.82,Узгоджено
763.2,Стандартне,36.77,Невелике занепокоєння,Висока,Поліпропілен,2.7,Узгоджено
1124.29,Коштовне,83.11,Вищий статус охорони,Помірна,Залізо,1.41,Заблоковано
674.96,Коштовне,41.4,Не охороняється,Помірна,Залізо,5.15,Узгоджено
1016.27,Просте,25.86,Вищий статус охорони,Безпечний,Поліпропілен,3.95,Заблоковано
1158.69,Коштовне,56.82,Невелике занепокоєння,Безпечний,Скло,1.09,Заблоковано
832.73,Просте,47.04,Вищий статус охорони,Помірна,Льон,5.84,Узгоджено
860.93,Стандартне,77.57,Не охороняється,Помірна,Залізо,8.62,Узгоджено
858.94,Просте,37.47,Вищий статус охорони,Висока,Скло,1.73,Узгоджено
1061.45,Стандартне,42.68,Не охороняється,Помірна,Залізо,3.62,Заблоковано
603.76,Стандартне,42.71,Не охороняється,Помірна,Скло,2.36,Узгоджено
1063.11,Коштовне,65.85,Не охороняється,Безпечний,Скло,2.14,Заблоковано
901.21,Стандартне,39.4,Вищий статус охорони,Безпечний,Залізо,2.89,Заблоковано
840.81,Коштовне,55.15,Не охороняється,Помірна,Льон,3.77,Узгоджено
497.94,Просте,32.45,Вищий статус охорони,Безпечний,Скло,3.1,Узгоджено
944.11,Просте,63.51,Невелике занепокоєння,Безпечний,Льон,4.31,Узгоджено
720.15,Стандартне,86.43,Невелике занепокоєння,Висока,Залізо,0.27,Узгоджено
919.29,Просте,36.89,Вищий статус охорони,Безпечний,Скло,3.14,Заблоковано
990.8,Стандартне,20.91,Невелике занепокоєння,Безпечний,Скло,2.18,Заблоковано
708.7,Стандартне,55.66,Вищий статус охорони,Помірна,Поліпропілен,0.0,Узгоджено
1361.37,Коштовне,27.22,Не охороняється,Безпечний,Льон,2.56,Заблоковано
934.92,Коштовне,23.1,Невелике занепокоєння,Помірна,Льон,1.85,Заблоковано
596.25,Стандартне,39.76,Не охороняється,Помірна,Льон,0.0,Узгоджено
945.42,Коштовне,46.79,Невелике занепокоєння,Безпечний,Поліпропілен,6.36,Заблоковано
990.69,Коштовне,52.01,Не охороняється,Висока,Скло,3.38,Заблоковано
540.51,Просте,43.37,Невелике занепокоєння,Помірна,Льон,2.97,Узгоджено
1277.93,Стандартне,38.49,Невелике занепокоєння,Безпечний,Скло,0.0,Заблоковано
774.34,Стандартне,37.15,Невелике занепокоєння,Безпечний,Льон,2.88,Узгоджено
900.15,Стандартне,58.47,Невелике занепокоєння,Безпечний,Скло,0.94,Узгоджено
889.62,Стандартне,58.37,Не охороняється,Висока,Льон,3.9,Узгоджено
716.94,Просте,54.55,Невелике занепокоєння,Помірна,Льон,1.36,Узгоджено
840.19,Коштовне,36.51,Вищий статус охорони,Помірна,Поліпропілен,0.97,Узгоджено
956.26,Просте,34.43,Не охороняється,Висока,Залізо,5.89,Заблоковано
819.81,Коштовне,40.01,Невелике занепокоєння,Помірна,Льон,0.6,Узгоджено
942.08,Просте,59.35,Вищий статус охорони,Висока,Льон,2.77,Заблоковано
824.89,Стандартне,90.03,Не охороняється,Безпечний,Залізо,5.5,Узгоджено
923.19,Просте,46.23,Не охороняється,Помірна,Льон,2.26,Заблоковано
945.95,Просте,48.32,Не охороняється,Безпечний,Льон,0.36,Заблоковано
1324.84,Стандартне,40.28,Вищий статус охорони,Висока,Льон,7.16,Заблоковано
789.41,Коштовне,58.48,Вищий статус охорони,Безпечний,Льон,0.0,Узгоджено
1060.71,Просте,32.11,Не охороняється,Помірна,Поліпропілен,3.0,Заблоковано
1104.58,Коштовне,50.3,Невелике занепокоєння,Висока,Поліпропілен,4.66,Заблоковано
838.76,Стандартне,69.18,Невелике занепокоєння,Висока,Скло,4.66,Узгоджено
681.57,Просте,55.0,Вищий статус охорони,Помірна,Поліпропілен,2.56,Узгоджено
689.84,Коштовне,27.78,Невелике занепокоєння,Помірна,Залізо,0.21,Узгоджено
930.15,Коштовне,42.68,Невелике занепокоєння,Безпечний,Залізо,1.69,Заблоковано
614.8,Коштовне,57.47,Вищий статус охорони,Безпечний,Поліпропілен,7.14,Узгоджено
730.19,Стандартне,41.21,Не охороняється,Безпечний,Льон,4.51,Узгоджено
